time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,1,1,0,0
2026-04-12 00:00:00+00:00,4,3,0,0
2026-04-13 00:00:00+00:00,38,11,0,0
2026-04-14 00:00:00+00:00,25,7,0,0
2026-04-15 00:00:00+00:00,28,10,4,2
2026-04-16 00:00:00+00:00,15,6,3,3
2026-04-17 00:00:00+00:00,32,9,0,0
2026-04-18 00:00:00+00:00,16,6,0,0
2026-04-19 00:00:00+00:00,27,12,0,0
2026-04-20 00:00:00+00:00,51,23,31,1
2026-04-21 00:00:00+00:00,51,20,17,1
2026-04-22 00:00:00+00:00,93,33,49,3
2026-04-23 00:00:00+00:00,81,27,1,1
2026-04-24 00:00:00+00:00,89,33,0,0
