time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-11 00:00:00+00:00,6,6,4,2
2024-06-12 00:00:00+00:00,13,12,27,2
2024-06-13 00:00:00+00:00,2,2,1,1
2024-06-14 00:00:00+00:00,2,2,0,0
2024-06-16 00:00:00+00:00,4,1,0,0
2024-06-17 00:00:00+00:00,3,3,4,1
2024-06-18 00:00:00+00:00,13,11,16,2
2024-06-19 00:00:00+00:00,9,5,26,2
2024-06-20 00:00:00+00:00,5,5,10,2
2024-06-21 00:00:00+00:00,7,6,13,2
2024-06-22 00:00:00+00:00,2,1,0,0
2024-06-23 00:00:00+00:00,0,0,1,1
2024-06-24 00:00:00+00:00,3,1,0,0
2024-06-25 00:00:00+00:00,1,1,7,1
2024-06-28 00:00:00+00:00,1,1,0,0
2024-06-30 00:00:00+00:00,1,1,0,0
2024-07-01 00:00:00+00:00,2,2,0,0
2024-07-03 00:00:00+00:00,0,0,1,1
2024-07-04 00:00:00+00:00,2,1,0,0
2024-07-05 00:00:00+00:00,3,1,0,0
2024-07-07 00:00:00+00:00,1,1,0,0
2024-07-08 00:00:00+00:00,4,1,0,0
2024-07-10 00:00:00+00:00,1,1,0,0
2024-07-15 00:00:00+00:00,2,1,0,0
2024-07-16 00:00:00+00:00,1,1,0,0
2024-07-17 00:00:00+00:00,2,2,0,0
